cardname,japanese_name,konami_cid,cardnumber,imageurl,ciid,all_ciids,all_imageurls,image_count,needs_image_review,setname,rarity,rarity_full,setcode,release_date,pid,image_mapping_source,image_mapping_notes,source_url
Ancient Arise Dragon,エンシェント・アライズ・ドラゴン,15799,RD/SA03-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,1,False,シークレットエースパックVol.3,SE,シークレットレア仕様,RD/SA03,2022-01-01,1000100429000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15799&request_locale=ja
Ancient Arise Dragon,エンシェント・アライズ・ドラゴン,15799,RD/KP03-JP024,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,1,False,デッキ改造パック 幻撃のミラージュインパクト!!,UR,ウルトラレア仕様,RD/KP03,2020-11-14,1000100202000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15799&request_locale=ja
Anchor Moray,アンカー・モーレイ,15808,RD/KP03-JP034,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15808&ciid=1&enc=H3gmJ3zxWmw3dCDyVg1PBg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15808&ciid=1&enc=H3gmJ3zxWmw3dCDyVg1PBg&app=tournament&request_locale=ja,1,False,デッキ改造パック 幻撃のミラージュインパクト!!,R,レア仕様,RD/KP03,2020-11-14,1000100202000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15808&request_locale=ja
Ants Running About,逃げまどうアリ,16132,RD/KP04-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16132&ciid=1&enc=miRGwdmG8cxrtBAVHRU6Rg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16132&ciid=1&enc=miRGwdmG8cxrtBAVHRU6Rg&app=tournament&request_locale=ja,1,False,デッキ改造パック 宿命のパワーデストラクション!!,N,ノーマル仕様,RD/KP04,2021-02-13,1000100203000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16132&request_locale=ja
Antrebellion of the Rebellion,叛逆のアリベリオン,16154,RD/KP04-JP033,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16154&ciid=1&enc=sXBwpm6idcQoqiSUzU9-gw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16154&ciid=1&enc=sXBwpm6idcQoqiSUzU9-gw&app=tournament&request_locale=ja,1,False,デッキ改造パック 宿命のパワーデストラクション!!,N,ノーマル仕様,RD/KP04,2021-02-13,1000100203000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16154&request_locale=ja
Anmagmabear,アンマグマ,16155,RD/SD04-JP021,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,1,False,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,N,ノーマル仕様,RD/SD04,2022-08-06,1000100118000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16155&request_locale=ja
Anmagmabear,アンマグマ,16155,RD/KP04-JP034,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,1,False,デッキ改造パック 宿命のパワーデストラクション!!,R,レア仕様,RD/KP04,2021-02-13,1000100203000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16155&request_locale=ja
Amabie,あまびえさん,16185,RD/21CC-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16185&ciid=1&enc=QOjYTKlfyhNNgG95uvy3Zg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16185&ciid=1&enc=QOjYTKlfyhNNgG95uvy3Zg&app=tournament&request_locale=ja,1,False,「あまびえさん」プレゼントキャンペーン,N,ノーマル仕様,RD/21CC,2021-02-20,1000100412000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16185&request_locale=ja
Acacia the Shadow Flower Priestess,花牙僧のミモザ,16333,RD/KP05-JP027,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16333&ciid=1&enc=NIcALnc4xESZDIw7vlXsmw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16333&ciid=1&enc=NIcALnc4xESZDIw7vlXsmw&app=tournament&request_locale=ja,1,False,デッキ改造パック　躍動のエターナルライブ！！,N,ノーマル仕様,RD/KP05,2021-04-24,1000100204000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16333&request_locale=ja
"Agariel, the Finest Sushi Fairy",極上寿司天使アガリブエル,16606,RD/S223-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,1,False,シークレットエースパック 2022 Vol.3,SE,シークレットレア仕様,RD/S223,2022-10-01,1000100444000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16606&request_locale=ja
"Agariel, the Finest Sushi Fairy",極上寿司天使アガリブエル,16606,RD/MAX2-JP039,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,1,False,マキシマム超絶進化パック,SR,スーパーレア仕様,RD/MAX2,2021-06-05,1000100502000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16606&request_locale=ja
Air Formula Eagle,エア・フォーミュラ・イーグル,16679,RD/KP06-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,1,False,デッキ改造パック　激闘のサンダーストーム！！,RR,ラッシュレア仕様,RD/KP06,2021-07-24,1000100205000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16679&request_locale=ja
Air Formula Eagle,エア・フォーミュラ・イーグル,16679,RD/KP06-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,1,False,デッキ改造パック　激闘のサンダーストーム！！,UR,ウルトラレア仕様,RD/KP06,2021-07-24,1000100205000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16679&request_locale=ja
Accel Wonder Splat,アクセルワンダー・スプラ,16769,RD/MRP2-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,1,False,メガロードパック２,N,ノーマル仕様,RD/MRP2,2023-10-14,1000100510000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16769&request_locale=ja
Accel Wonder Splat,アクセルワンダー・スプラ,16769,RD/SBD1-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,1,False,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,ノーマル仕様,RD/SBD1,2021-08-21,1000100104000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16769&request_locale=ja
Accel Wonder Flare,アクセルワンダー・フレア,16770,RD/MRP2-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,1,False,メガロードパック２,N,ノーマル仕様,RD/MRP2,2023-10-14,1000100510000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16770&request_locale=ja
Accel Wonder Flare,アクセルワンダー・フレア,16770,RD/SBD1-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,1,False,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,ノーマル仕様,RD/SBD1,2021-08-21,1000100104000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16770&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/5TH1-JP063,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,5th ANNIVERSARY PACK,P+SR,パラレル仕様スーパーレア,RD/5TH1,2025-04-12,1000100515000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/MRP2-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,メガロードパック２,R,レア仕様,RD/MRP2,2023-10-14,1000100510000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/MRP2-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,メガロードパック２,SE,シークレットレア仕様,RD/MRP2,2023-10-14,1000100510000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/B222-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,バトルパック 2022 Vol.2,N,ノーマル仕様,RD/B222,2022-07-01,1000100437000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/B222-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,バトルパック 2022 Vol.2,SR,スーパーレア仕様,RD/B222,2022-07-01,1000100437000,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/GRD0-JP008,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,ゴーラッシュデッキ　ボーナスカード,N,ノーマル仕様,RD/GRD0,2022-04-29,1000100111000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amazing Dealer,アメイジング・ディーラー,16772,RD/SBD1-JP019,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,1,False,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,ノーマル仕様,RD/SBD1,2021-08-21,1000100104000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772&request_locale=ja
Amusi Howling Performer,アミュージー・ハウリング・パフォーマー,16913,RD/EXT1-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16913&ciid=1&enc=Ih6_qIIAs9Veh3YVWdaKEg&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16913&ciid=1&enc=Ih6_qIIAs9Veh3YVWdaKEg&app=tournament&request_locale=ja,1,False,エクストラ超越強化パック,R,レア仕様,RD/EXT1,2021-09-18,1000100503000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16913&request_locale=ja
The All-Seeing White Tiger,隻眼のホワイトタイガー,16961,RD/SST1-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,1,False,最強ジャンプ2022年5月号付録 最強スターターデッキ,N,ノーマル仕様,RD/SST1,2022-04-04,1000100334000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16961&request_locale=ja
The All-Seeing White Tiger,隻眼のホワイトタイガー,16961,RD/B003-JP008,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,1,False,バトルパックVol.3,N,ノーマル仕様,RD/B003,2021-10-01,1000100424000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16961&request_locale=ja
Achacha Catcher,アチャチャキャッチャー,16971,RD/KP07-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16971&ciid=1&enc=PWuZ7dokC3FsajnlMKsUeQ&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16971&ciid=1&enc=PWuZ7dokC3FsajnlMKsUeQ&app=tournament&request_locale=ja,1,False,デッキ改造パック　混沌のオメガライジング！！,N,ノーマル仕様,RD/KP07,2021-10-30,1000100206000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16971&request_locale=ja
Ancient Arrive Dragon,エンシェント・アライブ・ドラゴン,17198,RD/SD0A-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,1,1,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,1,False,ストラクチャーデッキ 究極の青眼伝説,N,ノーマル仕様,RD/SD0A,2023-09-30,1000100120000,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17198&request_locale=ja
