cardname,cardnumber,imageurl,setname,rarity,setcode
Abare Ushioni,RD/KP10-JP042,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17890&ciid=1&enc=xdUodS3GP9e68MRcziaqOw&app=tournament&request_locale=ja,デッキ改造パック　破滅のレクイエム！！,R,RD/KP10
Amabear Lilith,RD/S262-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=17891&ciid=2&enc=zgvfrTb4SQHQW2RqIp1Qhw,スペシャルビクトリーパック2026 Vol.1,P+UR,RD/S262
Amabear Lilith,RD/KP10-JP043,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17891&ciid=1&enc=zgvfrTb4SQHQW2RqIp1Qhw&app=tournament&request_locale=ja,デッキ改造パック　破滅のレクイエム！！,N,RD/KP10
Alpha Burn Drake,RD/SD03-JP024,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17952&ciid=1&enc=OGAg9qKvlqdOwbMGj_jg6A&app=tournament&request_locale=ja,最強バトルデッキ　遊歩　－おいでヨ！ ハイテクドラゴン！－,N,RD/SD03
Analyze Phlogiston,RD/SD04-JP001,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17955&ciid=1&enc=rhyK0QaMjm2bNwzv2pcrmA&app=tournament&request_locale=ja,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,N,RD/SD04
Acoustiglee,RD/KP11-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18241&ciid=1&enc=W4ZlGib0hj3j9ZNW3oQYYw&app=tournament&request_locale=ja,デッキ改造パック　旋風のフォルテシモ！！,N,RD/KP11
Alkyl the Flame Emperor of the Lamp,RD/KP11-JP012,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18244&ciid=1&enc=q2mqJ6ppWcFOvr6awClvFg&app=tournament&request_locale=ja,デッキ改造パック　旋風のフォルテシモ！！,N,RD/KP11
Almastra XI - Aquarius,RD/ORP1-JP057,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18386&ciid=101&enc=zRcRAktXNcieWc6EO5NS_A,オーバーラッシュパック,ORR,RD/ORP1
Almastra XI - Aquarius,RD/ORP1-JP057,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18386&ciid=1&enc=zRcRAktXNcieWc6EO5NS_A&app=tournament&request_locale=ja,オーバーラッシュパック,UR,RD/ORP1
Alchemicalize Salamandra,RD/KP12-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18614&ciid=1&enc=B9v5LwcuSPHn4rwntD_HwQ&app=tournament&request_locale=ja,デッキ改造パック　強襲のダブルスター！！,SR,RD/KP12
Altierra the Skysavior Transience,RD/ORP4-JP042,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,オーバーラッシュパック４,N,RD/ORP4
Altierra the Skysavior Transience,RD/5TH1-JP053,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,P+SR,RD/5TH1
Altierra the Skysavior Transience,RD/5TH1-JP053,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SE,RD/5TH1
Altierra the Skysavior Transience,RD/B231-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,バトルパック 2023 Vol.1,N,RD/B231
Altierra the Skysavior Transience,RD/B231-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,バトルパック 2023 Vol.1,SR,RD/B231
Altierra the Skysavior Transience,RD/KP12-JP039,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,デッキ改造パック　強襲のダブルスター！！,R,RD/KP12
Aitsu,RD/B224-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18652&ciid=1&enc=4EdGwjbp0OY8pWdhJX7Tgg&app=tournament&request_locale=ja,バトルパック 2022 Vol.4,N,RD/B224
Abyssal Dragon Lord Abyss Poseidra [L],RD/VSP1-JP013,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18757&ciid=101&enc=P6uk90NkKHXogH-Y0yR-Kw,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra [L],RD/VSP1-JP013,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18757&ciid=1&enc=P6uk90NkKHXogH-Y0yR-Kw&app=tournament&request_locale=ja,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra,RD/VSP1-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18758&ciid=101&enc=EuZth4Cl0khEDt_e1j7mmA,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra,RD/VSP1-JP014,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18758&ciid=1&enc=EuZth4Cl0khEDt_e1j7mmA&app=tournament&request_locale=ja,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra [R],RD/VSP1-JP015,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18759&ciid=101&enc=SFsUkK1QO2-QlR7Nq2TReg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra [R],RD/VSP1-JP015,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18759&ciid=1&enc=SFsUkK1QO2-QlR7Nq2TReg&app=tournament&request_locale=ja,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [L],RD/VSP1-JP016,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18760&ciid=101&enc=lnc4mgcVv2vRWBXmLwTGCA,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [L],RD/VSP1-JP016,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18760&ciid=1&enc=lnc4mgcVv2vRWBXmLwTGCA&app=tournament&request_locale=ja,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Sea Dragon Abyss Kraken,RD/VSP1-JP017,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18761&ciid=101&enc=A4XeYP-HwSphA60i3VDSMw,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Sea Dragon Abyss Kraken,RD/VSP1-JP017,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18761&ciid=1&enc=A4XeYP-HwSphA60i3VDSMw&app=tournament&request_locale=ja,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [R],RD/VSP1-JP018,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18762&ciid=101&enc=MTQwXOCkmNBZ7E0iJBF84w,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [R],RD/VSP1-JP018,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18762&ciid=1&enc=MTQwXOCkmNBZ7E0iJBF84w&app=tournament&request_locale=ja,VSパック マキシマム・フォース,P,RD/VSP1
Abysslayer Apsaras,RD/VSP1-JP028,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18769&ciid=1&enc=GqnNHyejK9Y6Qg7DHp986g&app=tournament&request_locale=ja,VSパック マキシマム・フォース,SE,RD/VSP1
Abysslayer Apsaras,RD/VSP1-JP028,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18769&ciid=1&enc=GqnNHyejK9Y6Qg7DHp986g&app=tournament&request_locale=ja,VSパック マキシマム・フォース,SR,RD/VSP1
Abysslayer Makara,RD/VSP1-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18770&ciid=1&enc=V40fpaD10iZV0Qa1FQ9icg&app=tournament&request_locale=ja,VSパック マキシマム・フォース,N,RD/VSP1
Abysslayer Cetus,RD/VSP1-JP030,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18771&ciid=1&enc=WPs59HJaFLke5ubGqgkzZg&app=tournament&request_locale=ja,VSパック マキシマム・フォース,N,RD/VSP1
Abysslayer Vodyanoy,RD/5TH1-JP109,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18772&ciid=1&enc=g9NCXu7mFd1pOegueFkVrw&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysslayer Vodyanoy,RD/VSP1-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18772&ciid=1&enc=g9NCXu7mFd1pOegueFkVrw&app=tournament&request_locale=ja,VSパック マキシマム・フォース,N,RD/VSP1
Aero Sorcerer,RD/TH02-JP007,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18931&ciid=1&enc=xEC58CdOi_EH2L9i6Wddeg&app=tournament&request_locale=ja,ハーフデッキ 魔法使い族,N,RD/TH02
Aero Sorcerer,RD/KP13-JP002,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18931&ciid=1&enc=xEC58CdOi_EH2L9i6Wddeg&app=tournament&request_locale=ja,閃光のオブリビオン,N,RD/KP13
Agent Miscast,RD/5TH1-JP113,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19295&ciid=1&enc=ooHkZpl2-4pXEd2WouFGjg&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SR,RD/5TH1
Agent Miscast,RD/KP14-JP018,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19295&ciid=1&enc=ooHkZpl2-4pXEd2WouFGjg&app=tournament&request_locale=ja,轟炎のフェニックス,N,RD/KP14
Agent Mistake,RD/5TH1-JP114,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19296&ciid=1&enc=tRduTRwLGLU-Y-SP8b1kZA&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SR,RD/5TH1
Agent Mistake,RD/KP14-JP019,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19296&ciid=1&enc=tRduTRwLGLU-Y-SP8b1kZA&app=tournament&request_locale=ja,轟炎のフェニックス,N,RD/KP14
Agent Mismatch,RD/KP14-JP020,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19297&ciid=1&enc=8MRZqd3X87tkPir6gsRA6w&app=tournament&request_locale=ja,轟炎のフェニックス,N,RD/KP14
Agent Mislead,RD/KP14-JP021,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19298&ciid=1&enc=qODbvFmjTwHuMh47mkmUog&app=tournament&request_locale=ja,轟炎のフェニックス,N,RD/KP14
Abysslayer Leviaknight,RD/KP14-JP023,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19300&ciid=101&enc=K5V8cPZX5To9piA56aLwRg,轟炎のフェニックス,ORR,RD/KP14
