page_title,english_name,japanese_name,search_text,match_status,konami_cid,konami_name,konami_url,notes
Alchemicalize Orb,Alchemicalize Orb,アルケミカライズ・オーブ,アルケミカライズ・オーブ,MATCHED,20988,アルケミカライズ・オーブ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20988,1 result(s)
Alchemicalize Salamandra,Alchemicalize Salamandra,アルケミカライズ・サラマンドラ,アルケミカライズ・サラマンドラ,MATCHED,18614,アルケミカライズ・サラマンドラ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18614,1 result(s)
Alien Shocktrooper (Rush Duel),Alien Shocktrooper,エーリアン・ソルジャー,エーリアン・ソルジャー,MATCHED,17560,エーリアン・ソルジャー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17560,1 result(s)
Aliyen 33,Aliyen 33,エリアン３３,エリアン３３,MATCHED,17860,エリアン３３,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17860,1 result(s)
Alkyl the Flame Emperor of the Lamp,Alkyl the Flame Emperor of the Lamp,ランプの炎皇アルコ,ランプの炎皇アルコ,MATCHED,18244,ランプの炎皇アルコ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=18244,1 result(s)
All Love Goddess,All Love Goddess,オールラヴ・ゴッデス,オールラヴ・ゴッデス,MATCHED,20120,オールラヴ・ゴッデス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20120,1 result(s)
All-Seeing Harvey,All-Seeing Harvey,見切りのハーヴェイ,見切りのハーヴェイ,MATCHED,19317,見切りのハーヴェイ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19317,1 result(s)
The All-Seeing White Tiger (Rush Duel),The All-Seeing White Tiger,隻眼のホワイトタイガー,隻眼のホワイトタイガー,MATCHED,16961,隻眼のホワイトタイガー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16961,1 result(s)
Alligator's Black Knight,Alligator's Black Knight,ワイバーンの黒騎士,ワイバーンの黒騎士,MATCHED,19661,ワイバーンの黒騎士,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19661,1 result(s)
Alligator's Sword (Rush Duel),Alligator's Sword,ワイバーンの戦士,ワイバーンの戦士,MATCHED,17217,ワイバーンの戦士,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17217,1 result(s)
Alligator's Sword Dragon (Rush Duel),Alligator's Sword Dragon,ドラゴンに乗るワイバーン,ドラゴンに乗るワイバーン,MATCHED,17269,ドラゴンに乗るワイバーン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17269,1 result(s)
Almastra XI - Aquarius,Almastra XI - Aquarius,アルマストラⅪ－アクエリアス,アルマストラⅪ－アクエリアス,NO_MATCH,,,,0 result(s)
Alpha Burn Drake,Alpha Burn Drake,αバーン・ドレイク,αバーン・ドレイク,MATCHED,17952,αバーン・ドレイク,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17952,1 result(s)
Alpha The Eternal Magnet Warrior,Alpha The Eternal Magnet Warrior,永久磁石の戦士α,永久磁石の戦士α,MATCHED,20113,永久磁石の戦士α,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20113,1 result(s)
Alpha the Magnet Cavalry,Alpha the Magnet Cavalry,磁石の騎士α,磁石の騎士α,MATCHED,20107,磁石の騎士α,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20107,1 result(s)
Alpha The Magnet Warrior (Rush Duel),Alpha The Magnet Warrior,磁石の戦士α,磁石の戦士α,MATCHED,20110,磁石の戦士α,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20110,manual review: exact Konami name
Alpiris the Nurturer,Alpiris the Nurturer,育みのアルピリス,育みのアルピリス,MATCHED,21685,育みのアルピリス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21685,1 result(s)
Altierra the Skysavior Transience,Altierra the Skysavior Transience,蒼救の泡影アルティエラ,蒼救の泡影アルティエラ,NO_MATCH,,,,0 result(s)
Ama Lilith,Ama Lilith,アマ・リリス,アマ・リリス,MATCHED,17684,アマ・リリス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17684,1 result(s)
Amabear Lilith,Amabear Lilith,Ａくま・リリス,Ａくま・リリス,MATCHED,17891,Ａくま・リリス,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17891,1 result(s)
Amabie (Rush Duel),Amabie,あまびえさん,あまびえさん,MATCHED,16185,あまびえさん,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16185,1 result(s)
Amazing Dealer,Amazing Dealer,アメイジング・ディーラー,アメイジング・ディーラー,MATCHED,16772,アメイジング・ディーラー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16772,1 result(s)
Amusi Howling Performer,Amusi Howling Performer,アミュージー・ハウリング・パフォーマー,アミュージー・ハウリング・パフォーマー,MATCHED,16913,アミュージー・ハウリング・パフォーマー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16913,1 result(s)
Amusi Performer,Amusi Performer,アミュージー・パフォーマー,アミュージー・パフォーマー,MATCHED,15679,アミュージー・パフォーマー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15679,manual review: exact Konami name
Analyze Phlogiston,Analyze Phlogiston,アナライズ・フロギストン,アナライズ・フロギストン,MATCHED,17955,アナライズ・フロギストン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17955,1 result(s)
Anchor Moray,Anchor Moray,アンカー・モーレイ,アンカー・モーレイ,MATCHED,15808,アンカー・モーレイ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15808,1 result(s)
Ancient Arise Dragon,Ancient Arise Dragon,エンシェント・アライズ・ドラゴン,エンシェント・アライズ・ドラゴン,MATCHED,15799,エンシェント・アライズ・ドラゴン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15799,1 result(s)
Ancient Arrive Dragon,Ancient Arrive Dragon,エンシェント・アライブ・ドラゴン,エンシェント・アライブ・ドラゴン,MATCHED,17198,エンシェント・アライブ・ドラゴン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17198,1 result(s)
Ancient Gear Beast (Rush Duel),Ancient Gear Beast,古代の機械獣,古代の機械獣,MATCHED,20841,古代の機械獣,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20841,1 result(s)
Ancient Gear Crown,Ancient Gear Crown,古代の歯車冠,古代の歯車冠,MATCHED,20845,古代の歯車冠,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20845,1 result(s)
Ancient Gear Gadjiltron Baena,Ancient Gear Gadjiltron Baena,古代の機械双頭竜,古代の機械双頭竜,MATCHED,20970,古代の機械双頭竜,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20970,1 result(s)
Ancient Gear Gadjiltron Manticore,Ancient Gear Gadjiltron Manticore,古代の機械蠍尾獣,古代の機械蠍尾獣,MATCHED,20969,古代の機械蠍尾獣,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20969,1 result(s)
Ancient Gear Golem (Rush Duel),Ancient Gear Golem,古代の機械巨人,古代の機械巨人,MATCHED,20838,古代の機械巨人,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20838,1 result(s)
Ancient Gear Hunting Hound (Rush Duel),Ancient Gear Hunting Hound,古代の機械猟犬,古代の機械猟犬,MATCHED,21520,古代の機械猟犬,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21520,1 result(s)
Ancient Gear Medic,Ancient Gear Medic,古代の機械軍医,古代の機械軍医,MATCHED,20843,古代の機械軍医,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20843,1 result(s)
Ancient Gear Megaton Golem (Rush Duel),Ancient Gear Megaton Golem,古代の機械超巨人,古代の機械超巨人,MATCHED,21502,古代の機械超巨人,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21502,1 result(s)
Ancient Gear Powered Soldier,Ancient Gear Powered Soldier,古代の機械強兵,古代の機械強兵,MATCHED,20840,古代の機械強兵,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20840,1 result(s)
Ancient Gear Soldier (Rush Duel),Ancient Gear Soldier,古代の機械兵士,古代の機械兵士,MATCHED,20842,古代の機械兵士,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20842,1 result(s)
Ancient Gear Supplier,Ancient Gear Supplier,古代の機械給兵,古代の機械給兵,MATCHED,20844,古代の機械給兵,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20844,1 result(s)
Ancient Gear Tyranno,Ancient Gear Tyranno,古代の機械恐獣,古代の機械恐獣,MATCHED,20839,古代の機械恐獣,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20839,1 result(s)
Ancient Lizard Warrior (Rush Duel),Ancient Lizard Warrior,古代のトカゲ戦士,古代のトカゲ戦士,MATCHED,17279,古代のトカゲ戦士,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17279,1 result(s)
Ancient Turtle Protector,Ancient Turtle Protector,古の守り亀,古の守り亀,MATCHED,15195,古の守り亀,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15195,1 result(s)
Anglercoilfish,Anglercoilfish,チョウチンアンコイル,チョウチンアンコイル,MATCHED,17283,チョウチンアンコイル,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=17283,1 result(s)
Animagica Double Saber,Animagica Double Saber,アニマジカ・ダブルセイバー,アニマジカ・ダブルセイバー,MATCHED,21281,アニマジカ・ダブルセイバー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21281,1 result(s)
Animagica Gardna,Animagica Gardna,アニマジカ・ガードナー,アニマジカ・ガードナー,MATCHED,21278,アニマジカ・ガードナー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21278,1 result(s)
Animagica Knight,Animagica Knight,アニマジカ・ナイト,アニマジカ・ナイト,MATCHED,21280,アニマジカ・ナイト,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21280,1 result(s)
Animagica Leader,Animagica Leader,アニマジカ・リーダー,アニマジカ・リーダー,MATCHED,20147,アニマジカ・リーダー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20147,1 result(s)
Animagica Shooter,Animagica Shooter,アニマジカ・シューター,アニマジカ・シューター,MATCHED,21283,アニマジカ・シューター,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21283,1 result(s)
Animagica Sorcerer,Animagica Sorcerer,アニマジカ・ソーサラー,アニマジカ・ソーサラー,MATCHED,21279,アニマジカ・ソーサラー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21279,1 result(s)
Animagica Trader,Animagica Trader,アニマジカ・トレーダー,アニマジカ・トレーダー,MATCHED,21277,アニマジカ・トレーダー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21277,1 result(s)
Animagica Whip,Animagica Whip,アニマジカ・ウィップ,アニマジカ・ウィップ,MATCHED,21282,アニマジカ・ウィップ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=21282,1 result(s)
Animagica Witch,Animagica Witch,アニマジカ・ウィッチ,アニマジカ・ウィッチ,MATCHED,19979,アニマジカ・ウィッチ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=19979,1 result(s)
Animal Doctor Lily,Animal Doctor Lily,アニマル・ドクターリリー,アニマル・ドクターリリー,MATCHED,20973,アニマル・ドクターリリー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=20973,1 result(s)
Anmagmabear,Anmagmabear,アンマグマ,アンマグマ,MATCHED,16155,アンマグマ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16155,1 result(s)
Ansler the Magical Swordsman,Ansler the Magical Swordsman,魔剣士アンサラー,魔剣士アンサラー,MATCHED,15152,魔剣士アンサラー,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=15152,1 result(s)
Antrebellion of the Rebellion,Antrebellion of the Rebellion,叛逆のアリベリオン,叛逆のアリベリオン,MATCHED,16154,叛逆のアリベリオン,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16154,1 result(s)
Ants Running About,Ants Running About,逃げまどうアリ,逃げまどうアリ,MATCHED,16132,逃げまどうアリ,https://www.db.yugioh-card.com/rushdb/card_search.action?ope=2&cid=16132,1 result(s)
