cardname,cardnumber,rarity,rarity_full,setcode,setname,cid,ciid,image_mapping_source,image_mapping_notes,imageurl,local_path,validation_status,validation_notes
Ancient Arise Dragon,RD/SA03-JP004,SE,シークレットレア仕様,RD/SA03,シークレットエースパックVol.3,15799,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,images\15799_1.jpg,OK,
Ancient Arise Dragon,RD/KP03-JP024,UR,ウルトラレア仕様,RD/KP03,デッキ改造パック 幻撃のミラージュインパクト!!,15799,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15799&ciid=1&enc=uL9tYKPj6MdYejMM2TUp0A&app=tournament&request_locale=ja,images\15799_1.jpg,OK,
Anchor Moray,RD/KP03-JP034,R,レア仕様,RD/KP03,デッキ改造パック 幻撃のミラージュインパクト!!,15808,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=15808&ciid=1&enc=H3gmJ3zxWmw3dCDyVg1PBg&app=tournament&request_locale=ja,images\15808_1.jpg,OK,
Ants Running About,RD/KP04-JP009,N,ノーマル仕様,RD/KP04,デッキ改造パック 宿命のパワーデストラクション!!,16132,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16132&ciid=1&enc=miRGwdmG8cxrtBAVHRU6Rg&app=tournament&request_locale=ja,images\16132_1.jpg,OK,
Antrebellion of the Rebellion,RD/KP04-JP033,N,ノーマル仕様,RD/KP04,デッキ改造パック 宿命のパワーデストラクション!!,16154,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16154&ciid=1&enc=sXBwpm6idcQoqiSUzU9-gw&app=tournament&request_locale=ja,images\16154_1.jpg,OK,
Anmagmabear,RD/SD04-JP021,N,ノーマル仕様,RD/SD04,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,16155,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,images\16155_1.jpg,OK,
Anmagmabear,RD/KP04-JP034,R,レア仕様,RD/KP04,デッキ改造パック 宿命のパワーデストラクション!!,16155,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16155&ciid=1&enc=zbyGSdWuuhLLFm4lJq9oNw&app=tournament&request_locale=ja,images\16155_1.jpg,OK,
Amabie,RD/21CC-JP001,N,ノーマル仕様,RD/21CC,「あまびえさん」プレゼントキャンペーン,16185,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16185&ciid=1&enc=QOjYTKlfyhNNgG95uvy3Zg&app=tournament&request_locale=ja,images\16185_1.jpg,OK,
Acacia the Shadow Flower Priestess,RD/KP05-JP027,N,ノーマル仕様,RD/KP05,デッキ改造パック　躍動のエターナルライブ！！,16333,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16333&ciid=1&enc=NIcALnc4xESZDIw7vlXsmw&app=tournament&request_locale=ja,images\16333_1.jpg,OK,
"Agariel, the Finest Sushi Fairy",RD/S223-JP005,SE,シークレットレア仕様,RD/S223,シークレットエースパック 2022 Vol.3,16606,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,images\16606_1.jpg,OK,
"Agariel, the Finest Sushi Fairy",RD/MAX2-JP039,SR,スーパーレア仕様,RD/MAX2,マキシマム超絶進化パック,16606,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16606&ciid=1&enc=XCg9z26YRbR3si7do2SUuQ&app=tournament&request_locale=ja,images\16606_1.jpg,OK,
Air Formula Eagle,RD/KP06-JP022,RR,ラッシュレア仕様,RD/KP06,デッキ改造パック　激闘のサンダーストーム！！,16679,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,images\16679_1.jpg,OK,
Air Formula Eagle,RD/KP06-JP022,UR,ウルトラレア仕様,RD/KP06,デッキ改造パック　激闘のサンダーストーム！！,16679,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16679&ciid=1&enc=_IlFpmTRNaqhVI5pbI2aQg&app=tournament&request_locale=ja,images\16679_1.jpg,OK,
Accel Wonder Splat,RD/MRP2-JP010,N,ノーマル仕様,RD/MRP2,メガロードパック２,16769,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,images\16769_1.jpg,OK,
Accel Wonder Splat,RD/SBD1-JP009,N,ノーマル仕様,RD/SBD1,最強バトルデッキ　遊我　－ハイパーマシンロード－,16769,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16769&ciid=1&enc=t_Fmi33WaTxyxqFNJlwh8w&app=tournament&request_locale=ja,images\16769_1.jpg,OK,
Accel Wonder Flare,RD/MRP2-JP011,N,ノーマル仕様,RD/MRP2,メガロードパック２,16770,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,images\16770_1.jpg,OK,
Accel Wonder Flare,RD/SBD1-JP010,N,ノーマル仕様,RD/SBD1,最強バトルデッキ　遊我　－ハイパーマシンロード－,16770,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16770&ciid=1&enc=ve6Y3XwmnRRzBvJIZ7-vWw&app=tournament&request_locale=ja,images\16770_1.jpg,OK,
Amazing Dealer,RD/5TH1-JP063,P+SR,パラレル仕様スーパーレア,RD/5TH1,5th ANNIVERSARY PACK,16772,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amazing Dealer,RD/MRP2-JP014,R,レア仕様,RD/MRP2,メガロードパック２,16772,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amazing Dealer,RD/MRP2-JP014,SE,シークレットレア仕様,RD/MRP2,メガロードパック２,16772,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amazing Dealer,RD/B222-JP004,N,ノーマル仕様,RD/B222,バトルパック 2022 Vol.2,16772,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amazing Dealer,RD/B222-JP004,SR,スーパーレア仕様,RD/B222,バトルパック 2022 Vol.2,16772,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amazing Dealer,RD/GRD0-JP008,N,ノーマル仕様,RD/GRD0,ゴーラッシュデッキ　ボーナスカード,16772,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amazing Dealer,RD/SBD1-JP019,N,ノーマル仕様,RD/SBD1,最強バトルデッキ　遊我　－ハイパーマシンロード－,16772,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16772&ciid=1&enc=Ie21_BOPESWVCTies3idrg&app=tournament&request_locale=ja,images\16772_1.jpg,OK,
Amusi Howling Performer,RD/EXT1-JP029,R,レア仕様,RD/EXT1,エクストラ超越強化パック,16913,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16913&ciid=1&enc=Ih6_qIIAs9Veh3YVWdaKEg&app=tournament&request_locale=ja,images\16913_1.jpg,OK,
The All-Seeing White Tiger,RD/SST1-JP022,N,ノーマル仕様,RD/SST1,最強ジャンプ2022年5月号付録 最強スターターデッキ,16961,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,images\16961_1.jpg,OK,
The All-Seeing White Tiger,RD/B003-JP008,N,ノーマル仕様,RD/B003,バトルパックVol.3,16961,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16961&ciid=1&enc=ZB1ryEOJ0texEIPUYrT4Kw&app=tournament&request_locale=ja,images\16961_1.jpg,OK,
Achacha Catcher,RD/KP07-JP005,N,ノーマル仕様,RD/KP07,デッキ改造パック　混沌のオメガライジング！！,16971,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=16971&ciid=1&enc=PWuZ7dokC3FsajnlMKsUeQ&app=tournament&request_locale=ja,images\16971_1.jpg,OK,
Ancient Arrive Dragon,RD/SD0A-JP011,N,ノーマル仕様,RD/SD0A,ストラクチャーデッキ 究極の青眼伝説,17198,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,images\17198_1.jpg,OK,
Ancient Arrive Dragon,RD/GRP1-JP009,GRR,ゴールドラッシュレア仕様,RD/GRP1,ゴールドラッシュパック,17198,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,images\17198_1.jpg,OK,
Ancient Arrive Dragon,RD/GRP1-JP009,UR,ウルトラレア仕様,RD/GRP1,ゴールドラッシュパック,17198,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17198&ciid=1&enc=xDBqQmkpg2uhUSvNYG92wA&app=tournament&request_locale=ja,images\17198_1.jpg,OK,
Alligator's Sword,RD/LGP1-JP030,N,ノーマル仕様,RD/LGP1,レジェンド覚醒パック,17217,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17217&ciid=1&enc=PiWI9T6BnLt7PSI5hH_mnQ&app=tournament&request_locale=ja,images\17217_1.jpg,OK,
Alligator's Sword,RD/GRP1-JP035,N,ノーマル仕様,RD/GRP1,ゴールドラッシュパック,17217,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17217&ciid=1&enc=PiWI9T6BnLt7PSI5hH_mnQ&app=tournament&request_locale=ja,images\17217_1.jpg,OK,
Alligator's Sword Dragon,RD/B004-JP001,N,ノーマル仕様,RD/B004,バトルパックVol.4,17269,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17269&ciid=1&enc=DKmcQzXyklYUWnwEY1VfIw&app=tournament&request_locale=ja,images\17269_1.jpg,OK,
Alligator's Sword Dragon,RD/B004-JP001,SR,スーパーレア仕様,RD/B004,バトルパックVol.4,17269,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17269&ciid=1&enc=DKmcQzXyklYUWnwEY1VfIw&app=tournament&request_locale=ja,images\17269_1.jpg,OK,
Alligator's Sword Dragon,RD/B004-JP001,UR,ウルトラレア仕様（RED Ver.）,RD/B004,バトルパックVol.4,17269,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17269&ciid=1&enc=DKmcQzXyklYUWnwEY1VfIw&app=tournament&request_locale=ja,images\17269_1.jpg,OK,
Ancient Lizard Warrior,RD/KP08-JP003,N,ノーマル仕様,RD/KP08,デッキ改造パック　創造のマスターロード！！,17279,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17279&ciid=1&enc=d-MgZiEsllO4g9b773qw_A&app=tournament&request_locale=ja,images\17279_1.jpg,OK,
Anglercoilfish,RD/KP08-JP007,R,レア仕様,RD/KP08,デッキ改造パック　創造のマスターロード！！,17283,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17283&ciid=1&enc=Pkj3qFstlsjSVcjbiVWVag&app=tournament&request_locale=ja,images\17283_1.jpg,OK,
Accel Wonder Pebble,RD/RLP1-JP001,UR,ウルトラレア仕様,RD/RLP1,ラッシュデュエルLP１巻同梱カード,17485,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17485&ciid=1&enc=qbNevxfi3TBcWklvrX74zA&app=tournament&request_locale=ja,images\17485_1.jpg,OK,
Alien Shocktrooper,RD/GRD0-JP002,P,パラレル仕様,RD/GRD0,ゴーラッシュデッキ　ボーナスカード,17560,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17560&ciid=1&enc=SyjMfiBPHXc8Hk1mV6ZFOA&app=tournament&request_locale=ja,images\17560_1.jpg,OK,
Ama Lilith,RD/B241-JP002,N,ノーマル仕様,RD/B241,バトルパック 2024 Vol.1,17684,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17684&ciid=1&enc=xT6NhNZNteXfa2AHv7EK3A&app=tournament&request_locale=ja,images\17684_1.jpg,OK,
Ama Lilith,RD/B241-JP002,SR,スーパーレア仕様,RD/B241,バトルパック 2024 Vol.1,17684,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17684&ciid=1&enc=xT6NhNZNteXfa2AHv7EK3A&app=tournament&request_locale=ja,images\17684_1.jpg,OK,
Ama Lilith,RD/MRP1-JP042,N,ノーマル仕様,RD/MRP1,メガロードパック,17684,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17684&ciid=1&enc=xT6NhNZNteXfa2AHv7EK3A&app=tournament&request_locale=ja,images\17684_1.jpg,OK,
Abyss Soldier,RD/LGP2-JP068,P+UR,パラレル仕様ウルトラレア,RD/LGP2,真・レジェンド覚醒パック,17848,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,images\17848_1.jpg,OK,
Abyss Soldier,RD/LGP2-JP068,SR,スーパーレア仕様,RD/LGP2,真・レジェンド覚醒パック,17848,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,images\17848_1.jpg,OK,
Abyss Soldier,RD/KP10-JP000,RR,ラッシュレア仕様,RD/KP10,デッキ改造パック　破滅のレクイエム！！,17848,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,images\17848_1.jpg,OK,
Abyss Soldier,RD/KP10-JP000,SE,シークレットレア仕様,RD/KP10,デッキ改造パック　破滅のレクイエム！！,17848,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17848&ciid=1&enc=9PnLZjqtS5yyk5Un0Ces1g&app=tournament&request_locale=ja,images\17848_1.jpg,OK,
Aliyen 33,RD/KP10-JP012,N,ノーマル仕様,RD/KP10,デッキ改造パック　破滅のレクイエム！！,17860,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17860&ciid=1&enc=faNtP3YtFNQMa3IpF8TbtA&app=tournament&request_locale=ja,images\17860_1.jpg,OK,
Abare Ushioni,RD/KP10-JP042,R,レア仕様,RD/KP10,デッキ改造パック　破滅のレクイエム！！,17890,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17890&ciid=1&enc=xdUodS3GP9e68MRcziaqOw&app=tournament&request_locale=ja,images\17890_1.jpg,OK,
Amabear Lilith,RD/S262-JP004,P+UR,パラレル仕様ウルトラレア,RD/S262,スペシャルビクトリーパック2026 Vol.1,17891,2,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=17891&ciid=2&enc=zgvfrTb4SQHQW2RqIp1Qhw,images\17891_2.jpg,OK,
Amabear Lilith,RD/KP10-JP043,N,ノーマル仕様,RD/KP10,デッキ改造パック　破滅のレクイエム！！,17891,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17891&ciid=1&enc=zgvfrTb4SQHQW2RqIp1Qhw&app=tournament&request_locale=ja,images\17891_1.jpg,OK,
Alpha Burn Drake,RD/SD03-JP024,N,ノーマル仕様,RD/SD03,最強バトルデッキ　遊歩　－おいでヨ！ ハイテクドラゴン！－,17952,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17952&ciid=1&enc=OGAg9qKvlqdOwbMGj_jg6A&app=tournament&request_locale=ja,images\17952_1.jpg,OK,
Analyze Phlogiston,RD/SD04-JP001,N,ノーマル仕様,RD/SD04,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,17955,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=17955&ciid=1&enc=rhyK0QaMjm2bNwzv2pcrmA&app=tournament&request_locale=ja,images\17955_1.jpg,OK,
Acoustiglee,RD/KP11-JP009,N,ノーマル仕様,RD/KP11,デッキ改造パック　旋風のフォルテシモ！！,18241,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18241&ciid=1&enc=W4ZlGib0hj3j9ZNW3oQYYw&app=tournament&request_locale=ja,images\18241_1.jpg,OK,
Alkyl the Flame Emperor of the Lamp,RD/KP11-JP012,N,ノーマル仕様,RD/KP11,デッキ改造パック　旋風のフォルテシモ！！,18244,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18244&ciid=1&enc=q2mqJ6ppWcFOvr6awClvFg&app=tournament&request_locale=ja,images\18244_1.jpg,OK,
Almastra XI - Aquarius,RD/ORP1-JP057,ORR,オーバーラッシュレア仕様,RD/ORP1,オーバーラッシュパック,18386,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18386&ciid=101&enc=zRcRAktXNcieWc6EO5NS_A,images\18386_101.jpg,OK,
Almastra XI - Aquarius,RD/ORP1-JP057,UR,ウルトラレア仕様,RD/ORP1,オーバーラッシュパック,18386,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18386&ciid=1&enc=zRcRAktXNcieWc6EO5NS_A&app=tournament&request_locale=ja,images\18386_1.jpg,OK,
Alchemicalize Salamandra,RD/KP12-JP032,SR,スーパーレア仕様,RD/KP12,デッキ改造パック　強襲のダブルスター！！,18614,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18614&ciid=1&enc=B9v5LwcuSPHn4rwntD_HwQ&app=tournament&request_locale=ja,images\18614_1.jpg,OK,
Altierra the Skysavior Transience,RD/ORP4-JP042,N,ノーマル仕様,RD/ORP4,オーバーラッシュパック４,18621,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,images\18621_1.jpg,OK,
