cardname,cardnumber,imageurl,setname,rarity,setcode
Accel Wonder Splat,RD/SBD1-JP009,images\16769_1.jpg,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,RD/SBD1
Accel Wonder Flare,RD/MRP2-JP011,images\16770_1.jpg,メガロードパック２,N,RD/MRP2
Accel Wonder Flare,RD/SBD1-JP010,images\16770_1.jpg,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,RD/SBD1
Amazing Dealer,RD/5TH1-JP063,images\16772_1.jpg,5th ANNIVERSARY PACK,P+SR,RD/5TH1
Amazing Dealer,RD/MRP2-JP014,images\16772_1.jpg,メガロードパック２,R,RD/MRP2
Amazing Dealer,RD/MRP2-JP014,images\16772_1.jpg,メガロードパック２,SE,RD/MRP2
Amazing Dealer,RD/B222-JP004,images\16772_1.jpg,バトルパック 2022 Vol.2,N,RD/B222
Amazing Dealer,RD/B222-JP004,images\16772_1.jpg,バトルパック 2022 Vol.2,SR,RD/B222
Amazing Dealer,RD/GRD0-JP008,images\16772_1.jpg,ゴーラッシュデッキ　ボーナスカード,N,RD/GRD0
Amazing Dealer,RD/SBD1-JP019,images\16772_1.jpg,最強バトルデッキ　遊我　－ハイパーマシンロード－,N,RD/SBD1
Amusi Howling Performer,RD/EXT1-JP029,images\16913_1.jpg,エクストラ超越強化パック,R,RD/EXT1
The All-Seeing White Tiger,RD/SST1-JP022,images\16961_1.jpg,最強ジャンプ2022年5月号付録 最強スターターデッキ,N,RD/SST1
The All-Seeing White Tiger,RD/B003-JP008,images\16961_1.jpg,バトルパックVol.3,N,RD/B003
Achacha Catcher,RD/KP07-JP005,images\16971_1.jpg,デッキ改造パック　混沌のオメガライジング！！,N,RD/KP07
Ancient Arrive Dragon,RD/SD0A-JP011,images\17198_1.jpg,ストラクチャーデッキ 究極の青眼伝説,N,RD/SD0A
Ancient Arrive Dragon,RD/GRP1-JP009,images\17198_1.jpg,ゴールドラッシュパック,GRR,RD/GRP1
Ancient Arrive Dragon,RD/GRP1-JP009,images\17198_1.jpg,ゴールドラッシュパック,UR,RD/GRP1
Alligator's Sword,RD/LGP1-JP030,images\17217_1.jpg,レジェンド覚醒パック,N,RD/LGP1
Alligator's Sword,RD/GRP1-JP035,images\17217_1.jpg,ゴールドラッシュパック,N,RD/GRP1
Alligator's Sword Dragon,RD/B004-JP001,images\17269_1.jpg,バトルパックVol.4,N,RD/B004
Alligator's Sword Dragon,RD/B004-JP001,images\17269_1.jpg,バトルパックVol.4,SR,RD/B004
Alligator's Sword Dragon,RD/B004-JP001,images\17269_1.jpg,バトルパックVol.4,UR,RD/B004
Ancient Lizard Warrior,RD/KP08-JP003,images\17279_1.jpg,デッキ改造パック　創造のマスターロード！！,N,RD/KP08
Anglercoilfish,RD/KP08-JP007,images\17283_1.jpg,デッキ改造パック　創造のマスターロード！！,R,RD/KP08
Accel Wonder Pebble,RD/RLP1-JP001,images\17485_1.jpg,ラッシュデュエルLP１巻同梱カード,UR,RD/RLP1
Alien Shocktrooper,RD/GRD0-JP002,images\17560_1.jpg,ゴーラッシュデッキ　ボーナスカード,P,RD/GRD0
Ama Lilith,RD/B241-JP002,images\17684_1.jpg,バトルパック 2024 Vol.1,N,RD/B241
Ama Lilith,RD/B241-JP002,images\17684_1.jpg,バトルパック 2024 Vol.1,SR,RD/B241
Ama Lilith,RD/MRP1-JP042,images\17684_1.jpg,メガロードパック,N,RD/MRP1
Abyss Soldier,RD/LGP2-JP068,images\17848_1.jpg,真・レジェンド覚醒パック,P+UR,RD/LGP2
Abyss Soldier,RD/LGP2-JP068,images\17848_1.jpg,真・レジェンド覚醒パック,SR,RD/LGP2
Abyss Soldier,RD/KP10-JP000,images\17848_1.jpg,デッキ改造パック　破滅のレクイエム！！,RR,RD/KP10
Abyss Soldier,RD/KP10-JP000,images\17848_1.jpg,デッキ改造パック　破滅のレクイエム！！,SE,RD/KP10
Aliyen 33,RD/KP10-JP012,images\17860_1.jpg,デッキ改造パック　破滅のレクイエム！！,N,RD/KP10
Abare Ushioni,RD/KP10-JP042,images\17890_1.jpg,デッキ改造パック　破滅のレクイエム！！,R,RD/KP10
Amabear Lilith,RD/S262-JP004,images\17891_2.jpg,スペシャルビクトリーパック2026 Vol.1,P+UR,RD/S262
Amabear Lilith,RD/KP10-JP043,images\17891_1.jpg,デッキ改造パック　破滅のレクイエム！！,N,RD/KP10
Alpha Burn Drake,RD/SD03-JP024,images\17952_1.jpg,最強バトルデッキ　遊歩　－おいでヨ！ ハイテクドラゴン！－,N,RD/SD03
Analyze Phlogiston,RD/SD04-JP001,images\17955_1.jpg,最強バトルデッキ　マナブ　－炎のケミストニャードロー！－,N,RD/SD04
Acoustiglee,RD/KP11-JP009,images\18241_1.jpg,デッキ改造パック　旋風のフォルテシモ！！,N,RD/KP11
Alkyl the Flame Emperor of the Lamp,RD/KP11-JP012,images\18244_1.jpg,デッキ改造パック　旋風のフォルテシモ！！,N,RD/KP11
Almastra XI - Aquarius,RD/ORP1-JP057,images\18386_101.jpg,オーバーラッシュパック,ORR,RD/ORP1
Almastra XI - Aquarius,RD/ORP1-JP057,images\18386_1.jpg,オーバーラッシュパック,UR,RD/ORP1
Alchemicalize Salamandra,RD/KP12-JP032,images\18614_1.jpg,デッキ改造パック　強襲のダブルスター！！,SR,RD/KP12
Altierra the Skysavior Transience,RD/ORP4-JP042,images\18621_1.jpg,オーバーラッシュパック４,N,RD/ORP4
Altierra the Skysavior Transience,RD/5TH1-JP053,images\18621_1.jpg,5th ANNIVERSARY PACK,P+SR,RD/5TH1
Altierra the Skysavior Transience,RD/5TH1-JP053,images\18621_1.jpg,5th ANNIVERSARY PACK,SE,RD/5TH1
Altierra the Skysavior Transience,RD/B231-JP004,images\18621_1.jpg,バトルパック 2023 Vol.1,N,RD/B231
Altierra the Skysavior Transience,RD/B231-JP004,images\18621_1.jpg,バトルパック 2023 Vol.1,SR,RD/B231
Altierra the Skysavior Transience,RD/KP12-JP039,images\18621_1.jpg,デッキ改造パック　強襲のダブルスター！！,R,RD/KP12
Aitsu,RD/B224-JP009,images\18652_1.jpg,バトルパック 2022 Vol.4,N,RD/B224
Abyssal Dragon Lord Abyss Poseidra [L],RD/VSP1-JP013,images\18757_101.jpg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra [L],RD/VSP1-JP013,images\18757_1.jpg,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra,RD/VSP1-JP014,images\18758_101.jpg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra,RD/VSP1-JP014,images\18758_1.jpg,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra [R],RD/VSP1-JP015,images\18759_101.jpg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Dragon Lord Abyss Poseidra [R],RD/VSP1-JP015,images\18759_1.jpg,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [L],RD/VSP1-JP016,images\18760_101.jpg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [L],RD/VSP1-JP016,images\18760_1.jpg,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Sea Dragon Abyss Kraken,RD/VSP1-JP017,images\18761_101.jpg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Sea Dragon Abyss Kraken,RD/VSP1-JP017,images\18761_1.jpg,VSパック マキシマム・フォース,P,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [R],RD/VSP1-JP018,images\18762_101.jpg,VSパック マキシマム・フォース,ORR,RD/VSP1
Abyssal Sea Dragon Abyss Kraken [R],RD/VSP1-JP018,images\18762_1.jpg,VSパック マキシマム・フォース,P,RD/VSP1
Abysslayer Apsaras,RD/VSP1-JP028,images\18769_1.jpg,VSパック マキシマム・フォース,SE,RD/VSP1
Abysslayer Apsaras,RD/VSP1-JP028,images\18769_1.jpg,VSパック マキシマム・フォース,SR,RD/VSP1
Abysslayer Makara,RD/VSP1-JP029,images\18770_1.jpg,VSパック マキシマム・フォース,N,RD/VSP1
Abysslayer Cetus,RD/VSP1-JP030,images\18771_1.jpg,VSパック マキシマム・フォース,N,RD/VSP1
Abysslayer Vodyanoy,RD/5TH1-JP109,images\18772_1.jpg,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysslayer Vodyanoy,RD/VSP1-JP031,images\18772_1.jpg,VSパック マキシマム・フォース,N,RD/VSP1
Aero Sorcerer,RD/TH02-JP007,images\18931_1.jpg,ハーフデッキ 魔法使い族,N,RD/TH02
Aero Sorcerer,RD/KP13-JP002,images\18931_1.jpg,閃光のオブリビオン,N,RD/KP13
Agent Miscast,RD/5TH1-JP113,images\19295_1.jpg,5th ANNIVERSARY PACK,SR,RD/5TH1
Agent Miscast,RD/KP14-JP018,images\19295_1.jpg,轟炎のフェニックス,N,RD/KP14
Agent Mistake,RD/5TH1-JP114,images\19296_1.jpg,5th ANNIVERSARY PACK,SR,RD/5TH1
Agent Mistake,RD/KP14-JP019,images\19296_1.jpg,轟炎のフェニックス,N,RD/KP14
Agent Mismatch,RD/KP14-JP020,images\19297_1.jpg,轟炎のフェニックス,N,RD/KP14
Agent Mislead,RD/KP14-JP021,images\19298_1.jpg,轟炎のフェニックス,N,RD/KP14
Abysslayer Leviaknight,RD/KP14-JP023,images\19300_101.jpg,轟炎のフェニックス,ORR,RD/KP14
Abysslayer Leviaknight,RD/KP14-JP023,images\19300_1.jpg,轟炎のフェニックス,SE,RD/KP14
Abysslayer Leviaknight,RD/KP14-JP023,images\19300_1.jpg,轟炎のフェニックス,UR,RD/KP14
Abysskite Ange,RD/5TH1-JP110,images\19301_1.jpg,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysskite Ange,RD/KP14-JP024,images\19301_1.jpg,轟炎のフェニックス,R,RD/KP14
Abysskite Ange,RD/KP14-JP024,images\19301_1.jpg,轟炎のフェニックス,SE,RD/KP14
Abysskite Liem,RD/5TH1-JP111,images\19302_1.jpg,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysskite Liem,RD/KP14-JP025,images\19302_1.jpg,轟炎のフェニックス,R,RD/KP14
Abysskite Liem,RD/KP14-JP025,images\19302_1.jpg,轟炎のフェニックス,SE,RD/KP14
Abysskite Karen,RD/5TH1-JP112,images\19303_1.jpg,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysskite Karen,RD/KP14-JP026,images\19303_1.jpg,轟炎のフェニックス,R,RD/KP14
Abysskite Karen,RD/KP14-JP026,images\19303_1.jpg,轟炎のフェニックス,SE,RD/KP14
All-Seeing Harvey,RD/SD0F-JP018,images\19317_1.jpg,ストラクチャーデッキ 帝王の凱旋,N,RD/SD0F
All-Seeing Harvey,RD/KP14-JP040,images\19317_101.jpg,轟炎のフェニックス,ORR,RD/KP14
All-Seeing Harvey,RD/KP14-JP040,images\19317_1.jpg,轟炎のフェニックス,SE,RD/KP14
All-Seeing Harvey,RD/KP14-JP040,images\19317_1.jpg,轟炎のフェニックス,UR,RD/KP14
Absolute Lord of D.,RD/AP01-JP080,images\19426_1.jpg,アドバンスパック デビルズ・セレモニー,SE,RD/AP01
Absolute Lord of D.,RD/SD0A-JP005,images\19426_1.jpg,ストラクチャーデッキ 究極の青眼伝説,N,RD/SD0A
Absolute Lord of D.,RD/SD0A-JPS04,images\19426_1.jpg,ストラクチャーデッキ 究極の青眼伝説 特典カード,SR,RD/SD0A
Accel Wonder Light,RD/SD0E-JP016,images\19548_1.jpg,ストラクチャーデッキ 黒魔術の儀式,P,RD/SD0E
Accel Wonder Light,RD/5TH1-JP135,images\19548_1.jpg,5th ANNIVERSARY PACK,SE,RD/5TH1
Accel Wonder Light,RD/MRP2-JP012,images\19548_1.jpg,メガロードパック２,SR,RD/MRP2
Alligator's Black Knight,RD/KP15-JP026,images\19661_1.jpg,闇黒のレッドリブート,N,RD/KP15
Abysskite Miracle Girls,RD/HC01-JP040,images\19778_101.jpg,ハイグレードコレクション,ORR,RD/HC01
Abysskite Miracle Girls,RD/HC01-JP040,images\19778_1.jpg,ハイグレードコレクション,SR,RD/HC01
Abysspiny Turtle,RD/HC01-JP081,images\19797_1.jpg,ハイグレードコレクション,N,RD/HC01
Abysspiny Turtle,RD/HC01-JP081,images\19797_1.jpg,ハイグレードコレクション,SR,RD/HC01
Abysslayer Quintiamat,RD/KP16-JP021,images\19969_101.jpg,超越のトランザム,ORR,RD/KP16
Abysslayer Quintiamat,RD/KP16-JP021,images\19969_1.jpg,超越のトランザム,SE,RD/KP16
Abysslayer Quintiamat,RD/KP16-JP021,images\19969_1.jpg,超越のトランザム,UR,RD/KP16
Agent Mishap,RD/KP16-JP022,images\19970_1.jpg,超越のトランザム,R,RD/KP16
Animagica Witch,RD/TB02-JP070,images\19979_1.jpg,トリプルビルドパック エボリューション・インパクト,P,RD/TB02
Animagica Witch,RD/KP16-JP031,images\19979_1.jpg,超越のトランザム,SE,RD/KP16
Animagica Witch,RD/KP16-JP031,images\19979_1.jpg,超越のトランザム,SR,RD/KP16
Alpha the Magnet Cavalry,RD/ORP2-JP026,images\20107_1.jpg,オーバーラッシュパック２,N,RD/ORP2
Alpha The Magnet Warrior,RD/ORP2-JP029,images\20110_1.jpg,オーバーラッシュパック２,P+UR,RD/ORP2
Alpha The Magnet Warrior,RD/ORP2-JP029,images\20110_1.jpg,オーバーラッシュパック２,SR,RD/ORP2
Alpha The Eternal Magnet Warrior,RD/ORP2-JP032,images\20113_1.jpg,オーバーラッシュパック２,SE,RD/ORP2
Alpha The Eternal Magnet Warrior,RD/ORP2-JP032,images\20113_1.jpg,オーバーラッシュパック２,SR,RD/ORP2
All Love Goddess,RD/ORP2-JP039,images\20120_101.jpg,オーバーラッシュパック２,ORR,RD/ORP2
All Love Goddess,RD/ORP2-JP039,images\20120_1.jpg,オーバーラッシュパック２,UR,RD/ORP2
Animagica Leader,RD/ORP2-JP074,images\20147_101.jpg,オーバーラッシュパック２,ORR,RD/ORP2
Animagica Leader,RD/ORP2-JP074,images\20147_1.jpg,オーバーラッシュパック２,UR,RD/ORP2
Advance Form,RD/SD0F-JP012,images\20329_1.jpg,ストラクチャーデッキ 帝王の凱旋,N,RD/SD0F
Advance Form,RD/KP17-JP032,images\20329_1.jpg,覚醒のバーストレックス,N,RD/KP17
Ancient Gear Golem,RD/LGP2-JP004,images\20838_101.jpg,真・レジェンド覚醒パック,ORR,RD/LGP2
Ancient Gear Golem,RD/LGP2-JP004,images\20838_1.jpg,真・レジェンド覚醒パック,UR,RD/LGP2
Ancient Gear Tyranno,RD/LGP2-JP005,images\20839_101.jpg,真・レジェンド覚醒パック,ORR,RD/LGP2
Ancient Gear Tyranno,RD/LGP2-JP005,images\20839_1.jpg,真・レジェンド覚醒パック,UR,RD/LGP2
Ancient Gear Powered Soldier,RD/LGP2-JP006,images\20840_101.jpg,真・レジェンド覚醒パック,ORR,RD/LGP2
Ancient Gear Powered Soldier,RD/LGP2-JP006,images\20840_1.jpg,真・レジェンド覚醒パック,UR,RD/LGP2
Ancient Gear Beast,RD/LGP2-JP007,images\20841_1.jpg,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Beast,RD/LGP2-JP007,images\20841_1.jpg,真・レジェンド覚醒パック,SR,RD/LGP2
Ancient Gear Soldier,RD/LGP2-JP008,images\20842_1.jpg,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Soldier,RD/LGP2-JP008,images\20842_1.jpg,真・レジェンド覚醒パック,SR,RD/LGP2
Ancient Gear Medic,RD/LGP2-JP009,images\20843_1.jpg,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Medic,RD/LGP2-JP009,images\20843_1.jpg,真・レジェンド覚醒パック,SR,RD/LGP2
Ancient Gear Supplier,RD/LGP2-JP010,images\20844_1.jpg,真・レジェンド覚醒パック,N,RD/LGP2
Ancient Gear Supplier,RD/LGP2-JP010,images\20844_1.jpg,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Crown,RD/LGP2-JP011,images\20845_1.jpg,真・レジェンド覚醒パック,N,RD/LGP2
Ancient Gear Crown,RD/LGP2-JP011,images\20845_1.jpg,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Gadjiltron Manticore,RD/B244-JP004,images\20969_1.jpg,バトルパック 2024 Vol.4,SR,RD/B244
Ancient Gear Gadjiltron Manticore,RD/KP19-JP018,images\20969_1.jpg,灼熱のサラマンデウス,N,RD/KP19
Ancient Gear Gadjiltron Baena,RD/KP19-JP019,images\20970_1.jpg,灼熱のサラマンデウス,SE,RD/KP19
Ancient Gear Gadjiltron Baena,RD/KP19-JP019,images\20970_1.jpg,灼熱のサラマンデウス,SR,RD/KP19
Animal Doctor Lily,RD/KP19-JP022,images\20973_1.jpg,灼熱のサラマンデウス,SE,RD/KP19
Animal Doctor Lily,RD/KP19-JP022,images\20973_1.jpg,灼熱のサラマンデウス,SR,RD/KP19
Alchemicalize Orb,RD/KP19-JP037,images\20988_1.jpg,灼熱のサラマンデウス,N,RD/KP19
Animagica Trader,RD/B251-JP003,images\21277_1.jpg,バトルパック 2025 Vol.1,SR,RD/B251
Animagica Trader,RD/KP20-JP026,images\21277_1.jpg,悠久のギャラクティカ,N,RD/KP20
Animagica Gardna,RD/B254-JP006,images\21278_1.jpg,バトルパック2025 Vol.4,N,RD/B254
Animagica Gardna,RD/B254-JP006,images\21278_1.jpg,バトルパック2025 Vol.4,SR,RD/B254
Animagica Gardna,RD/KP20-JP027,images\21278_1.jpg,悠久のギャラクティカ,R,RD/KP20
Animagica Gardna,RD/KP20-JP027,images\21278_1.jpg,悠久のギャラクティカ,SE,RD/KP20
Animagica Sorcerer,RD/KP20-JP028,images\21279_1.jpg,悠久のギャラクティカ,SE,RD/KP20
Animagica Sorcerer,RD/KP20-JP028,images\21279_1.jpg,悠久のギャラクティカ,SR,RD/KP20
Animagica Knight,RD/KP20-JP029,images\21280_1.jpg,悠久のギャラクティカ,R,RD/KP20
Animagica Knight,RD/KP20-JP029,images\21280_1.jpg,悠久のギャラクティカ,SE,RD/KP20
Animagica Double Saber,RD/B251-JP004,images\21281_1.jpg,バトルパック 2025 Vol.1,SR,RD/B251
Animagica Double Saber,RD/KP20-JP030,images\21281_1.jpg,悠久のギャラクティカ,N,RD/KP20
Animagica Whip,RD/KP20-JP031,images\21282_1.jpg,悠久のギャラクティカ,SE,RD/KP20
Animagica Whip,RD/KP20-JP031,images\21282_1.jpg,悠久のギャラクティカ,SR,RD/KP20
Animagica Shooter,RD/KP20-JP032,images\21283_101.jpg,悠久のギャラクティカ,ORR,RD/KP20
Animagica Shooter,RD/KP20-JP032,images\21283_1.jpg,悠久のギャラクティカ,SE,RD/KP20
Animagica Shooter,RD/KP20-JP032,images\21283_1.jpg,悠久のギャラクティカ,UR,RD/KP20
Aise the Snowmaiden of Sacred Splendor,RD/KP20-JP036,images\21287_1.jpg,悠久のギャラクティカ,R,RD/KP20
Aise the Snowmaiden of Sacred Splendor,RD/KP20-JP036,images\21287_1.jpg,悠久のギャラクティカ,SE,RD/KP20
Ancient Gear Megaton Golem,RD/5TH1-JP030,images\21502_101.jpg,5th ANNIVERSARY PACK,ORR,RD/5TH1
Ancient Gear Megaton Golem,RD/5TH1-JP030,images\21502_1.jpg,5th ANNIVERSARY PACK,UR,RD/5TH1
Abysskite Ulti-Ange,RD/5TH1-JP036,images\21508_101.jpg,5th ANNIVERSARY PACK,ORR,RD/5TH1
Abysskite Ulti-Ange,RD/5TH1-JP036,images\21508_1.jpg,5th ANNIVERSARY PACK,UR,RD/5TH1
Ancient Gear Hunting Hound,RD/5TH1-JP048,images\21520_1.jpg,5th ANNIVERSARY PACK,UR,RD/5TH1
Accel Wonder Dark,RD/KP21-JP005,images\21649_1.jpg,進撃のアクセルロード,R,RD/KP21
Alpiris the Nurturer,RD/KP21-JP041,images\21685_1.jpg,進撃のアクセルロード,N,RD/KP21
Abysskite Kaleido-Karen,RD/KP22-JP011,images\21987_101.jpg,戦慄のアウターバース,ORR,RD/KP22
Abysskite Kaleido-Karen,RD/KP22-JP011,images\21987_1.jpg,戦慄のアウターバース,SE,RD/KP22
Abysskite Kaleido-Karen,RD/KP22-JP011,images\21987_1.jpg,戦慄のアウターバース,UR,RD/KP22
Abad the Negahell Emperor,RD/KP22-JPS00,images\22043_202.jpg,戦慄のアウターバース,ORR,RD/KP22
Abad the Negahell Emperor,RD/KP22-JPS00,images\22043_1.jpg,戦慄のアウターバース,SR,RD/KP22
Absorbing Fiend's Mirror,RD/KP25-JP045,images\23242_1.jpg,極光のライジング,R,RD/KP25
